 ,Area,Mean,Min,Max,X,Y
1,0,73,73,73,4652.000,1925.000
2,0,55,55,55,4547.500,2056.500
3,0,80,80,80,4199.500,1980.500
4,0,40,40,40,4527.500,2860.500
5,0,35,35,35,4367.500,3392.500
6,0,83,83,83,4423.500,3356.500
7,0,52,52,52,4687.500,3360.500
8,0,76,76,76,4723.500,3336.500
9,0,47,47,47,4619.500,3256.500
10,0,82,82,82,4799.500,3256.500
11,0,127,127,127,4895.500,3104.500
12,0,34,34,34,4975.500,3300.500
13,0,34,34,34,5039.500,3344.500
14,0,32,32,32,4963.500,3684.500
15,0,44,44,44,5467.500,3112.500
16,0,55,55,55,6595.500,3808.500
17,0,36,36,36,6903.500,3932.500
18,0,29,29,29,7055.500,3716.500
19,0,46,46,46,5755.500,2169.500
20,0,44,44,44,6099.500,1701.500
21,0,50,50,50,4831.500,1140.500
22,0,96,96,96,5179.500,1404.500
23,0,40,40,40,5427.500,1740.500
24,0,37,37,37,5167.500,319.500
25,0,45,45,45,5103.500,263.500
26,0,69,69,69,5115.500,183.500
27,0,89,89,89,5071.500,127.500
28,0,95,95,95,3775.500,3528.500
29,0,57,57,57,3659.500,3480.500
30,0,33,33,33,3623.500,3460.500
31,0,38,38,38,3431.500,3492.500
32,0,19,19,19,3087.500,3408.500
33,0,21,21,21,3019.500,3488.500
34,0,19,19,19,2723.500,3480.500
35,0,47,47,47,3003.500,3256.500
36,0,26,26,26,3355.500,3184.500
37,0,41,41,41,3027.500,2968.500
38,0,51,51,51,2799.500,3120.500
39,0,26,26,26,2883.500,3068.500
40,0,31,31,31,2751.500,3140.500
41,0,105,105,105,2551.500,3196.500
42,0,77,77,77,2647.500,2936.500
43,0,25,25,25,2683.500,2988.500
44,0,53,53,53,4015.500,2596.500
45,0,38,38,38,3999.500,2604.500
46,0,59,59,59,2127.500,1991.500
47,0,78,78,78,1139.500,1305.500
48,0,45,45,45,1219.500,1349.500
49,0,50,50,50,151.500,2944.500
50,0,23,23,23,959.500,2564.500
51,0,20,20,20,767.500,1814.500
52,0,18,18,18,739.500,1714.500
