 ,Area,Mean,Min,Max,X,Y
1,0,75,75,75,680.000,1059.000
2,0,62,62,62,757.500,1114.500
3,0,66,66,66,761.500,1086.500
4,0,88,88,88,815.500,1104.500
5,0,70,70,70,817.500,1136.500
6,0,132,132,132,775.500,1184.500
7,0,66,66,66,773.500,1196.500
8,0,78,78,78,703.500,904.500
9,0,61,61,61,615.500,1074.500
10,0,118,118,118,829.500,1210.500
11,0,70,70,70,813.500,1298.500
12,0,68,68,68,843.500,1274.500
13,0,65,65,65,843.500,1306.500
14,0,113,113,113,827.500,1330.500
15,0,90,90,90,877.500,1328.500
16,0,75,75,75,917.500,1360.500
17,0,107,107,107,891.500,1284.500
18,0,74,74,74,1067.500,1408.500
19,0,77,77,77,1125.500,1360.500
20,0,79,79,79,1137.500,1376.500
21,0,80,80,80,1215.500,1358.500
22,0,78,78,78,1233.500,1380.500
23,0,132,132,132,1337.500,1228.500
24,0,161,161,161,1257.500,1186.500
25,0,106,106,106,1257.500,1126.500
26,0,100,100,100,1327.500,1094.500
27,0,80,80,80,1361.500,1026.500
28,0,99,99,99,1385.500,1016.500
29,0,100,100,100,1403.500,1000.500
30,0,89,89,89,1271.500,986.500
31,0,148,148,148,1513.500,764.500
32,0,145,145,145,1513.500,766.500
33,0,81,81,81,1541.500,1427.500
34,0,77,77,77,1577.500,1465.500
35,0,108,108,108,1645.500,1594.500
36,0,79,79,79,1689.500,1608.500
37,0,90,90,90,1745.500,1618.500
38,0,83,83,83,1727.500,1570.500
39,0,107,107,107,1745.500,1584.500
40,0,90,90,90,1761.500,1584.500
41,0,110,110,110,1771.500,1584.500
42,0,68,68,68,265.500,529.500
43,0,78,78,78,275.500,549.500
44,0,65,65,65,273.500,581.500
45,0,91,91,91,325.500,837.500
46,0,66,66,66,659.500,1725.500
47,0,105,105,105,1629.500,1251.500
48,0,100,100,100,1765.500,1361.500
