 ,Area,Mean,Min,Max,X,Y
1,0,97,97,97,1056.000,2640.000
2,0,48,48,48,2495.500,2247.500
3,0,46,46,46,2351.500,2175.500
4,0,56,56,56,2831.500,1959.500
5,0,69,69,69,3279.500,2487.500
6,0,57,57,57,3151.500,2527.500
7,0,67,67,67,2991.500,2687.500
8,0,62,62,62,3303.500,2703.500
9,0,64,64,64,2719.500,3047.500
10,0,60,60,60,3007.500,3063.500
11,0,51,51,51,3007.500,3143.500
12,0,83,83,83,2183.500,3535.500
13,0,84,84,84,2191.500,3607.500
14,0,205,205,205,4055.500,2820.500
15,0,109,109,109,4083.500,3020.500
16,0,148,148,148,4507.500,2912.500
17,0,113,113,113,4583.500,2936.500
18,0,76,76,76,4619.500,2880.500
19,0,56,56,56,4751.500,3016.500
20,0,149,149,149,4835.500,3120.500
21,0,74,74,74,5003.500,2940.500
22,0,50,50,50,4939.500,2892.500
23,0,54,54,54,4999.500,2832.500
24,0,220,220,220,4855.500,2848.500
25,0,59,59,59,5035.500,3360.500
26,0,82,82,82,4859.500,3564.500
27,0,88,88,88,4335.500,4072.500
28,0,67,67,67,6417.500,4046.500
29,0,100,100,100,6417.500,4298.500
30,0,189,189,189,7211.500,3011.500
