 ,Area,Mean,Min,Max,X,Y
1,0,131,131,131,3563.500,2455.500
2,0,211,211,211,3787.500,2199.500
3,0,94,94,94,3991.500,2335.500
4,0,54,54,54,3627.500,2231.500
5,0,142,142,142,3495.500,2343.500
6,0,83,83,83,3251.500,2347.500
7,0,135,135,135,3195.500,2359.500
8,0,231,231,231,2791.500,2467.500
9,0,129,129,129,2935.500,2303.500
10,0,81,81,81,2699.500,2155.500
11,0,100,100,100,2851.500,3107.500
12,0,175,175,175,2859.500,3283.500
13,0,137,137,137,2119.500,3484.500
14,0,109,109,109,2235.500,4240.500
15,0,120,120,120,3807.500,4072.500
16,0,124,124,124,3579.500,3576.500
17,0,184,184,184,1719.500,4556.500
18,0,100,100,100,4111.500,2596.500
19,0,208,208,208,5067.500,2548.500
20,0,86,86,86,1623.500,2024.500
