 ,Area,Mean,Min,Max,X,Y
1,0,89,89,89,3652.000,1534.000
2,0,191,191,191,3359.500,1569.500
3,0,192,192,192,2975.500,1417.500
4,0,105,105,105,3267.500,1761.500
5,0,198,198,198,3347.500,1701.500
6,0,181,181,181,3219.500,1705.500
7,0,99,99,99,3471.500,1709.500
8,0,106,106,106,4007.500,1971.500
9,0,168,168,168,3275.500,1939.500
10,0,97,97,97,3143.500,1967.500
11,0,173,173,173,2827.500,2095.500
12,0,92,92,92,2991.500,2239.500
13,0,131,131,131,3015.500,2219.500
14,0,100,100,100,3067.500,2199.500
15,0,142,142,142,3099.500,2319.500
16,0,122,122,122,2959.500,2387.500
17,0,137,137,137,2607.500,3169.500
18,0,116,116,116,2863.500,3221.500
19,0,101,101,101,2839.500,2717.500
20,0,115,115,115,2451.500,4232.500
21,0,124,124,124,1827.500,3852.500
22,0,131,131,131,1915.500,3348.500
23,0,92,92,92,1943.500,3384.500
