 ,Area,Mean,Min,Max,X,Y
1,0,120,120,120,645.000,512.000
2,0,103,103,103,651.833,531.833
3,0,160,160,160,622.500,541.167
4,0,117,117,117,631.833,561.167
5,0,92,92,92,611.833,554.500
6,0,97,97,97,609.167,561.167
7,0,97,97,97,622.500,570.500
8,0,127,127,127,595.833,587.833
9,0,83,83,83,609.167,603.833
10,0,130,130,130,591.833,611.833
11,0,103,103,103,579.833,587.833
12,0,104,104,104,579.833,629.167
13,0,83,83,83,577.167,649.167
14,0,78,78,78,554.500,661.167
15,0,113,113,113,586.500,677.167
16,0,69,69,69,633.167,643.833
17,0,84,84,84,630.500,617.167
18,0,79,79,79,630.500,679.833
19,0,86,86,86,622.500,710.500
20,0,134,134,134,651.833,710.500
21,0,93,93,93,665.167,745.167
22,0,114,114,114,610.500,790.500
23,0,91,91,91,638.500,798.500
24,0,112,112,112,659.833,795.833
25,0,127,127,127,669.167,821.167
26,0,88,88,88,734.500,799.833
27,0,94,94,94,707.833,842.500
28,0,90,90,90,723.833,850.500
29,0,80,80,80,737.167,847.833
30,0,121,121,121,681.167,875.833
31,0,80,80,80,619.833,850.500
32,0,128,128,128,506.500,929.167
33,0,97,97,97,550.500,977.167
34,0,95,95,95,669.167,1009.167
35,0,100,100,100,710.500,1017.167
36,0,100,100,100,701.167,987.833
37,0,99,99,99,711.833,1085.167
38,0,96,96,96,734.500,1085.167
39,0,111,111,111,750.500,1066.500
40,0,94,94,94,723.833,1122.500
41,0,152,152,152,798.500,1146.500
42,0,124,124,124,825.167,1125.167
43,0,78,78,78,870.500,1058.500
44,0,85,85,85,807.833,1037.167
45,0,87,87,87,838.500,979.833
46,0,128,128,128,761.167,922.500
47,0,114,114,114,701.167,683.833
48,0,111,111,111,707.833,614.500
49,0,101,101,101,795.833,554.500
50,0,100,100,100,911.833,583.833
51,0,97,97,97,878.500,405.167
52,0,81,81,81,1030.500,421.167
53,0,78,78,78,1062.500,406.500
54,0,104,104,104,1087.833,518.500
55,0,81,81,81,1113.167,435.833
56,0,93,93,93,1102.500,375.833
57,0,116,116,116,1126.500,374.500
58,0,90,90,90,1113.167,347.833
59,0,105,105,105,1158.500,333.167
60,0,165,165,165,934.500,1332.833
61,0,101,101,101,1147.833,888.833
62,0,148,148,148,1308.500,300.500
63,0,87,87,87,1204.500,410.500
64,0,108,108,108,1250.500,414.500
65,0,97,97,97,1258.500,396.500
66,0,131,131,131,1282.500,1147.500
67,0,140,140,140,865.500,1438.500
