 ,Area,Mean,Min,Max,X,Y
1,0,41,41,41,3599.000,173.000
2,0,51,51,51,4028.500,514.167
3,0,109,109,109,3851.167,760.167
4,0,63,63,63,4049.833,838.833
5,0,91,91,91,3876.500,853.500
6,0,101,101,101,4249.833,1182.167
7,0,136,136,136,4225.833,1304.833
8,0,119,119,119,4335.167,1216.167
9,0,105,105,105,4481.833,1210.833
10,0,148,148,148,4487.167,1217.500
11,0,101,101,101,3993.833,1848.500
12,0,78,78,78,4823.500,1760.500
13,0,70,70,70,4931.500,1712.500
14,0,92,92,92,5119.500,1878.500
15,0,79,79,79,4927.500,1636.500
16,0,80,80,80,4861.500,1584.500
17,0,152,152,152,4655.500,1694.500
18,0,149,149,149,4639.500,1698.500
19,0,93,93,93,4593.500,1560.500
20,0,118,118,118,5119.500,2102.500
21,0,103,103,103,4895.500,2572.500
22,0,126,126,126,4711.500,2951.500
23,0,167,167,167,4979.500,4202.500
24,0,162,162,162,4407.500,3839.500
25,0,175,175,175,4269.500,3591.500
26,0,93,93,93,4393.500,3501.500
27,0,66,66,66,4574.500,1304.500
28,0,89,89,89,2143.500,1470.500
29,0,130,130,130,2230.500,1344.500
