 ,Area,Mean,Min,Max,X,Y
1,0,63,63,63,2924.000,888.000
2,0,58,58,58,2995.500,795.500
3,0,46,46,46,3079.500,719.500
4,0,48,48,48,3099.500,775.500
5,0,53,53,53,3011.500,995.500
6,0,58,58,58,3075.500,1031.500
7,0,62,62,62,3135.500,883.500
8,0,89,89,89,3203.500,847.500
9,0,93,93,93,3239.500,807.500
10,0,45,45,45,3267.500,735.500
11,0,44,44,44,3355.500,747.500
12,0,51,51,51,3279.500,879.500
13,0,61,61,61,3435.500,927.500
14,0,43,43,43,3431.500,1011.500
15,0,59,59,59,3591.500,859.500
16,0,50,50,50,3607.500,1123.500
17,0,72,72,72,3959.500,1039.500
18,0,57,57,57,4107.500,1039.500
19,0,64,64,64,4243.500,947.500
20,0,62,62,62,4311.500,923.500
21,0,37,37,37,4551.500,931.500
22,0,86,86,86,4551.500,971.500
23,0,89,89,89,4599.500,995.500
24,0,74,74,74,4471.500,1171.500
25,0,50,50,50,4415.500,1283.500
26,0,47,47,47,4287.500,1183.500
27,0,70,70,70,3983.500,1295.500
28,0,70,70,70,3903.500,1595.500
29,0,69,69,69,4331.500,1606.500
30,0,69,69,69,4571.500,1530.500
31,0,52,52,52,4443.500,1358.500
32,0,52,52,52,4611.500,1278.500
33,0,52,52,52,4299.500,2248.500
34,0,86,86,86,4823.500,2615.500
35,0,74,74,74,4119.500,3296.500
36,0,77,77,77,4943.500,2640.500
37,0,46,46,46,4991.500,2636.500
38,0,81,81,81,6151.500,1733.500
