 ,Area,Mean,Min,Max,X,Y
1,0,155,155,155,5369.000,4126.000
2,0,46,46,46,5326.500,4110.500
3,0,48,48,48,4876.500,3777.500
4,0,89,89,89,4825.500,3726.500
5,0,86,86,86,4615.500,3729.500
6,0,66,66,66,4831.500,3540.500
7,0,58,58,58,4693.500,3528.500
8,0,151,151,151,4621.500,3519.500
9,0,37,37,37,4264.500,3501.500
10,0,79,79,79,3478.500,3798.500
11,0,64,64,64,3550.500,3708.500
12,0,86,86,86,3490.500,3666.500
13,0,46,46,46,3427.500,3585.500
14,0,175,175,175,3337.500,3582.500
15,0,140,140,140,3295.500,3582.500
16,0,115,115,115,3211.500,3603.500
17,0,203,203,203,3184.500,3201.500
18,0,47,47,47,3115.500,3315.500
19,0,150,150,150,2725.500,2955.500
20,0,50,50,50,1915.500,3081.500
21,0,126,126,126,1849.500,3135.500
22,0,33,33,33,1819.500,3189.500
23,0,75,75,75,395.500,3123.500
24,0,157,157,157,547.500,3183.500
25,0,36,36,36,655.500,3187.500
26,0,127,127,127,731.500,3247.500
27,0,23,23,23,487.500,3359.500
28,0,59,59,59,563.500,3375.500
29,0,158,158,158,631.500,3599.500
30,0,49,49,49,985.500,1883.500
31,0,111,111,111,715.500,2462.500
