 ,Area,Mean,Min,Max,X,Y
1,0,78,78,78,992.000,1247.000
2,0,84,84,84,1052.500,1214.500
3,0,125,125,125,1020.500,1204.500
4,0,75,75,75,1037.500,1202.500
5,0,116,116,116,1037.500,1179.500
6,0,90,90,90,1050.500,1171.500
7,0,153,153,153,1059.500,1151.500
8,0,87,87,87,1085.500,1142.500
9,0,112,112,112,1034.500,1120.500
10,0,88,88,88,1002.500,1145.500
11,0,105,105,105,1002.500,1151.500
12,0,134,134,134,986.500,1150.500
13,0,77,77,77,906.500,1033.500
14,0,81,81,81,1208.500,1249.500
15,0,161,161,161,1169.500,1234.500
16,0,160,160,160,1161.500,1226.500
17,0,81,81,81,1216.500,1245.500
18,0,76,76,76,1377.500,1405.500
19,0,65,65,65,1390.500,1392.500
20,0,112,112,112,1411.500,1368.500
21,0,99,99,99,1403.500,1356.500
22,0,131,131,131,1401.500,1507.500
23,0,63,63,63,1537.500,1498.500
24,0,60,60,60,1472.500,1491.500
25,0,63,63,63,1502.500,1466.500
26,0,74,74,74,1525.500,1461.500
27,0,83,83,83,1487.500,1424.500
28,0,84,84,84,1461.500,1443.500
29,0,72,72,72,1427.500,1400.500
30,0,74,74,74,1487.500,1397.500
31,0,135,135,135,1505.500,1363.500
32,0,108,108,108,1418.500,773.500
33,0,123,123,123,1507.500,599.500
34,0,69,69,69,1595.500,719.500
35,0,95,95,95,1229.500,839.500
36,0,92,92,92,870.500,809.500
37,0,67,67,67,653.500,1088.500
38,0,122,122,122,394.500,449.500
39,0,93,93,93,404.500,460.500
40,0,79,79,79,329.500,622.500
41,0,151,151,151,335.500,625.500
42,0,59,59,59,315.500,635.500
43,0,67,67,67,321.500,674.500
44,0,97,97,97,342.500,659.500
45,0,110,110,110,342.500,670.500
46,0,69,69,69,342.500,682.500
47,0,66,66,66,349.500,694.500
48,0,97,97,97,365.500,672.500
49,0,69,69,69,387.500,670.500
50,0,112,112,112,552.500,765.500
51,0,96,96,96,569.500,743.500
52,0,123,123,123,310.500,780.500
53,0,65,65,65,744.833,701.833
54,0,80,80,80,427.500,589.833
55,0,73,73,73,404.833,501.833
56,0,76,76,76,580.833,76.833
57,0,80,80,80,1270.833,35.500
58,0,114,114,114,1001.500,58.167
59,0,114,114,114,1461.500,112.833
60,0,92,92,92,2059.500,158.167
61,0,86,86,86,1196.167,477.167
62,0,96,96,96,1196.167,490.500
