 ,Area,Mean,Min,Max,X,Y
1,0,129,129,129,954.000,1509.000
2,0,105,105,105,581.500,1367.500
3,0,75,75,75,668.500,1307.500
4,0,71,71,71,668.500,1271.500
5,0,62,62,62,578.500,1100.500
6,0,58,58,58,542.500,1043.500
7,0,63,63,63,536.500,959.500
8,0,71,71,71,533.500,995.500
9,0,78,78,78,596.500,911.500
10,0,120,120,120,596.500,884.500
11,0,67,67,67,584.500,854.500
12,0,70,70,70,536.500,467.500
13,0,82,82,82,620.500,440.500
14,0,70,70,70,674.500,479.500
15,0,98,98,98,677.500,680.500
16,0,67,67,67,602.500,1070.500
17,0,86,86,86,638.500,1010.500
18,0,77,77,77,689.500,947.500
19,0,71,71,71,752.500,881.500
