 ,Area,Mean,Min,Max,X,Y
1,0,109,109,109,5528.000,4361.000
2,0,94,94,94,5483.500,4060.500
3,0,113,113,113,5375.500,4056.500
4,0,84,84,84,5671.500,3772.500
5,0,106,106,106,5551.500,3696.500
6,0,117,117,117,5403.500,4044.500
7,0,103,103,103,5575.500,3596.500
8,0,108,108,108,5379.500,3660.500
9,0,139,139,139,5379.500,3748.500
10,0,94,94,94,5259.500,3808.500
11,0,104,104,104,5319.500,3264.500
12,0,87,87,87,5391.500,3348.500
13,0,68,68,68,5695.500,3376.500
14,0,64,64,64,5759.500,3268.500
15,0,69,69,69,5755.500,3040.500
16,0,85,85,85,5827.500,2953.500
17,0,74,74,74,5935.500,2817.500
18,0,79,79,79,5955.500,2741.500
19,0,98,98,98,5855.500,2141.500
20,0,95,95,95,4903.500,2621.500
21,0,90,90,90,3689.500,3266.500
22,0,83,83,83,3410.500,3365.500
23,0,70,70,70,3272.500,3344.500
24,0,81,81,81,3194.500,3179.500
25,0,95,95,95,3065.500,3215.500
26,0,93,93,93,2996.500,3227.500
27,0,118,118,118,2933.500,3131.500
28,0,104,104,104,2978.500,3077.500
29,0,97,97,97,3143.500,3044.500
30,0,72,72,72,2759.500,3140.500
31,0,92,92,92,2834.500,3218.500
32,0,76,76,76,2810.500,3008.500
33,0,93,93,93,2927.500,2819.500
34,0,70,70,70,2966.500,2885.500
35,0,131,131,131,2741.500,2873.500
36,0,81,81,81,2708.500,2912.500
37,0,85,85,85,2633.500,2936.500
38,0,83,83,83,2489.500,2993.500
39,0,100,100,100,2327.500,3155.500
40,0,97,97,97,2204.500,3344.500
41,0,92,92,92,2375.500,3428.500
42,0,78,78,78,2534.500,3305.500
43,0,100,100,100,2225.500,2942.500
44,0,71,71,71,2330.500,2888.500
45,0,74,74,74,2372.500,2759.500
46,0,103,103,103,2963.500,2471.500
47,0,91,91,91,2789.500,2603.500
48,0,91,91,91,2024.500,2897.500
49,0,88,88,88,1979.500,2885.500
50,0,87,87,87,1913.500,2936.500
51,0,113,113,113,1982.500,2975.500
52,0,116,116,116,2120.500,3080.500
53,0,84,84,84,2036.500,2525.500
54,0,112,112,112,2138.500,2528.500
55,0,124,124,124,1853.500,2480.500
56,0,78,78,78,1499.500,2870.500
57,0,97,97,97,1571.500,2909.500
58,0,116,116,116,1229.500,2303.500
59,0,124,124,124,2872.500,1003.500
60,0,88,88,88,2624.500,1183.500
61,0,87,87,87,2524.500,1207.500
62,0,89,89,89,2500.500,1339.500
63,0,78,78,78,2364.500,1395.500
64,0,79,79,79,2252.500,1379.500
65,0,83,83,83,2352.500,1503.500
66,0,121,121,121,2300.500,1563.500
67,0,100,100,100,2300.500,1579.500
68,0,111,111,111,2208.500,1607.500
69,0,84,84,84,2124.500,1623.500
70,0,109,109,109,2048.500,1699.500
71,0,98,98,98,2280.500,1707.500
72,0,135,135,135,2696.500,1351.500
73,0,97,97,97,2696.500,1459.500
74,0,144,144,144,2760.500,1459.500
75,0,94,94,94,2868.500,1535.500
76,0,134,134,134,2752.500,1555.500
77,0,117,117,117,2764.500,1607.500
78,0,122,122,122,2828.500,1207.500
79,0,82,82,82,2976.500,1251.500
80,0,133,133,133,3092.500,1343.500
81,0,136,136,136,3048.500,1403.500
82,0,121,121,121,3095.500,1590.500
83,0,110,110,110,3080.500,1605.500
84,0,111,111,111,3011.500,1605.500
85,0,92,92,92,2933.500,1605.500
86,0,94,94,94,3521.500,1521.500
87,0,148,148,148,3575.500,1293.500
88,0,110,110,110,3590.500,1308.500
89,0,130,130,130,3593.500,1182.500
90,0,85,85,85,4094.500,1065.500
91,0,87,87,87,4088.500,996.500
92,0,98,98,98,3818.500,990.500
93,0,119,119,119,1679.500,1356.500
94,0,109,109,109,1625.500,1512.500
95,0,120,120,120,1676.500,1605.500
96,0,82,82,82,2405.500,951.500
97,0,91,91,91,2372.500,885.500
98,0,89,89,89,2426.500,858.500
99,0,123,123,123,2774.500,698.500
100,0,93,93,93,2846.500,737.500
101,0,85,85,85,2075.500,734.500
102,0,71,71,71,2234.500,641.500
103,0,80,80,80,3656.500,575.500
104,0,77,77,77,3845.500,614.500
105,0,123,123,123,4373.500,608.500
106,0,81,81,81,3491.500,626.500
107,0,82,82,82,3473.500,482.500
108,0,152,152,152,4848.500,1051.500
109,0,102,102,102,4604.500,975.500
110,0,97,97,97,2270.500,1997.500
111,0,103,103,103,2318.500,2018.500
112,0,91,91,91,2012.500,2201.500
113,0,102,102,102,1625.500,2282.500
114,0,137,137,137,1715.500,2153.500
115,0,163,163,163,1430.500,1937.500
116,0,132,132,132,1358.500,1964.500
117,0,107,107,107,1604.500,1757.500
118,0,108,108,108,1439.500,1631.500
119,0,111,111,111,1490.500,1496.500
120,0,87,87,87,1535.500,1382.500
121,0,92,92,92,1580.500,1295.500
122,0,140,140,140,1223.500,1757.500
123,0,76,76,76,3938.500,1355.500
124,0,98,98,98,3959.500,1328.500
125,0,92,92,92,3392.500,2072.500
126,0,88,88,88,3578.500,1922.500
127,0,70,70,70,3620.500,1847.500
