 ,Area,Mean,Min,Max,X,Y
1,0,87,87,87,1285.000,1476.000
2,0,123,123,123,1320.500,1506.833
3,0,108,108,108,1320.500,1524.167
4,0,142,142,142,1344.500,1493.500
5,0,79,79,79,1383.167,1502.833
6,0,149,149,149,1411.167,1516.167
7,0,125,125,125,1349.833,1472.167
8,0,78,78,78,1379.167,1470.833
9,0,95,95,95,1352.500,1438.833
10,0,84,84,84,1379.167,1436.167
11,0,100,100,100,1327.167,1440.167
12,0,76,76,76,1403.167,1428.167
13,0,166,166,166,1333.833,1410.833
14,0,96,96,96,1383.167,1404.167
15,0,145,145,145,1345.833,1382.833
16,0,111,111,111,1355.167,1376.167
17,0,116,116,116,1369.833,1325.500
18,0,152,152,152,1395.167,1332.167
19,0,99,99,99,1432.500,1325.500
20,0,103,103,103,1417.833,1294.833
21,0,84,84,84,1460.500,1314.833
22,0,88,88,88,1471.167,1274.833
23,0,89,89,89,1521.833,1314.833
24,0,76,76,76,1540.500,1333.500
25,0,130,130,130,1465.833,1181.167
26,0,154,154,154,1472.500,1155.833
27,0,116,116,116,1560.500,1024.167
28,0,108,108,108,1565.833,1050.833
29,0,130,130,130,1616.500,977.500
30,0,148,148,148,1640.500,1000.167
31,0,132,132,132,1885.833,1045.500
32,0,120,120,120,1596.500,926.833
33,0,141,141,141,1641.833,750.167
34,0,93,93,93,1436.500,567.500
35,0,142,142,142,1244.500,591.500
36,0,137,137,137,1219.167,596.833
37,0,116,116,116,1261.833,630.167
38,0,93,93,93,1267.167,670.167
39,0,135,135,135,1168.500,652.833
40,0,115,115,115,1115.167,458.833
41,0,111,111,111,1216.500,344.167
42,0,140,140,140,1247.167,192.833
43,0,145,145,145,1104.500,721.833
44,0,117,117,117,1103.167,671.167
45,0,98,98,98,1077.833,769.833
46,0,101,101,101,1084.500,779.167
47,0,138,138,138,1145.833,771.167
48,0,178,178,178,1164.500,772.500
49,0,118,118,118,1121.833,844.500
50,0,71,71,71,1073.833,969.833
51,0,115,115,115,1053.167,943.833
52,0,116,116,116,1045.167,975.833
53,0,165,165,165,1009.167,971.833
54,0,80,80,80,999.833,1017.167
55,0,119,119,119,975.833,1013.167
56,0,111,111,111,981.167,994.500
57,0,89,89,89,954.500,1025.167
58,0,95,95,95,941.167,1033.167
59,0,104,104,104,930.500,1021.167
60,0,72,72,72,957.167,1057.167
61,0,72,72,72,969.167,1061.167
62,0,115,115,115,943.833,1065.167
63,0,142,142,142,930.500,1142.500
64,0,103,103,103,899.833,1082.500
65,0,120,120,120,886.500,1070.500
66,0,134,134,134,883.833,1058.500
67,0,110,110,110,867.833,1023.833
68,0,135,135,135,847.833,997.167
69,0,109,109,109,934.500,1071.833
70,0,106,106,106,907.167,952.500
71,0,92,92,92,921.167,962.500
72,0,104,104,104,940.500,935.167
73,0,114,114,114,940.500,919.833
74,0,101,101,101,934.500,941.167
75,0,171,171,171,988.500,915.167
76,0,117,117,117,939.167,885.167
77,0,111,111,111,920.500,883.167
78,0,100,100,100,879.833,896.500
79,0,92,92,92,881.833,908.500
80,0,128,128,128,891.167,922.500
81,0,120,120,120,844.500,961.833
82,0,121,121,121,849.833,916.500
83,0,111,111,111,810.500,931.167
84,0,139,139,139,802.500,935.833
85,0,124,124,124,811.833,961.167
86,0,153,153,153,812.500,983.833
87,0,121,121,121,791.833,983.167
88,0,142,142,142,759.833,954.500
89,0,96,96,96,705.833,982.500
90,0,107,107,107,698.500,924.500
91,0,99,99,99,675.833,909.167
92,0,106,106,106,746.500,873.833
93,0,134,134,134,783.167,863.833
94,0,145,145,145,816.500,808.500
95,0,164,164,164,875.500,823.500
96,0,113,113,113,879.500,839.500
97,0,77,77,77,841.500,775.500
98,0,118,118,118,885.500,755.500
99,0,75,75,75,678.500,733.500
100,0,121,121,121,694.500,742.500
101,0,187,187,187,694.500,828.500
102,0,120,120,120,829.500,534.500
103,0,147,147,147,855.500,569.500
104,0,127,127,127,932.500,471.500
105,0,121,121,121,785.500,433.500
106,0,160,160,160,832.500,297.500
107,0,116,116,116,826.500,254.500
108,0,113,113,113,825.500,246.500
109,0,151,151,151,546.500,390.500
110,0,127,127,127,628.500,80.500
111,0,130,130,130,662.833,239.500
112,0,124,124,124,1038.833,691.833
113,0,77,77,77,207.167,153.167
